df_FS1_10HZ_ML,df_PS2_100HZ_ML,df_profile_ML,time,sin_time,cos_time
8.99,125.5,100,0.0,0.0,1.0
0.77,15.648,100,0.1,0.06279051952931337,0.9980267284282716
0.641,6.266,100,0.2,0.12533323356430426,0.9921147013144779
0.006,3.25,100,0.3,0.1873813145857246,0.9822872507286887
0.0,2.008,100,0.4,0.2486898871648548,0.9685831611286311
0.0,1.367,100,0.5,0.3090169943749474,0.9510565162951535
0.001,1.078,100,0.6,0.3681245526846779,0.9297764858882515
0.003,0.836,100,0.7,0.4257792915650726,0.9048270524660196
0.001,0.641,100,0.8,0.4817536741017153,0.8763066800438636
0.001,0.578,100,0.9,0.5358267949789967,0.8443279255020151
0.001,0.43,100,1.0,0.5877852522924731,0.8090169943749475
0.005,0.406,100,1.1,0.6374239897486897,0.7705132427757891
0.0,0.32,100,1.2,0.6845471059286886,0.7289686274214116
0.0,0.289,100,1.3,0.7289686274214116,0.6845471059286886
0.0,0.219,100,1.4,0.7705132427757891,0.6374239897486899
0.0,0.086,100,1.5,0.8090169943749475,0.5877852522924731
0.001,0.078,100,1.6,0.8443279255020151,0.5358267949789965
0.0,0.062,100,1.7,0.8763066800438636,0.4817536741017153
0.0,0.008,100,1.8,0.9048270524660196,0.42577929156507266
0.0,0.187,100,1.9,0.9297764858882513,0.3681245526846781
0.005,0.133,100,2.0,0.9510565162951535,0.30901699437494745
0.003,0.094,100,2.1,0.9685831611286311,0.24868988716485474
0.0,0.039,100,2.2,0.9822872507286887,0.18738131458572452
0.001,0.055,100,2.3,0.9921147013144778,0.12533323356430448
0.001,0.0,100,2.4,0.9980267284282716,0.06279051952931353
0.003,0.0,100,2.5,1.0,6.123233995736766e-17
0.001,0.0,100,2.6,0.9980267284282716,-0.0627905195293134
0.003,0.0,100,2.7,0.9921147013144778,-0.12533323356430437
0.003,0.0,100,2.8,0.9822872507286887,-0.18738131458572438
0.003,0.0,100,2.9,0.9685831611286312,-0.24868988716485463
0.0,0.0,100,3.0,0.9510565162951536,-0.30901699437494734
0.0,0.0,100,3.1,0.9297764858882515,-0.368124552684678
0.0,0.031,100,3.2,0.9048270524660195,-0.4257792915650727
0.0,0.0,100,3.3,0.8763066800438637,-0.48175367410171505
0.0,0.0,100,3.4,0.8443279255020152,-0.5358267949789964
0.001,0.0,100,3.5,0.8090169943749475,-0.587785252292473
0.001,0.0,100,3.6,0.7705132427757893,-0.6374239897486897
0.003,0.0,100,3.7,0.7289686274214114,-0.6845471059286887
0.003,0.0,100,3.8,0.6845471059286888,-0.7289686274214113
0.0,0.0,100,3.9,0.6374239897486899,-0.7705132427757891
0.0,0.0,100,4.0,0.5877852522924732,-0.8090169943749473
0.001,0.0,100,4.1,0.535826794978997,-0.8443279255020149
0.0,0.0,100,4.2,0.4817536741017152,-0.8763066800438636
0.0,0.0,100,4.3,0.4257792915650729,-0.9048270524660194
0.0,0.0,100,4.4,0.36812455268467775,-0.9297764858882515
0.0,0.0,100,4.5,0.3090169943749475,-0.9510565162951535
0.001,0.0,100,4.6,0.24868988716485524,-0.968583161128631
0.003,0.0,100,4.7,0.18738131458572457,-0.9822872507286887
0.005,0.0,100,4.8,0.12533323356430454,-0.9921147013144778
0.004,0.0,100,4.9,0.06279051952931314,-0.9980267284282716
0.0,0.0,100,5.0,1.2246467991473532e-16,-1.0
0.001,0.0,100,5.1,-0.0627905195293129,-0.9980267284282716
0.003,0.0,100,5.2,-0.12533323356430429,-0.9921147013144779
0.001,0.0,100,5.3,-0.18738131458572432,-0.9822872507286887
0.001,0.0,100,5.4,-0.24868988716485502,-0.9685831611286311
0.0,0.0,100,5.5,-0.3090169943749473,-0.9510565162951536
0.003,0.0,100,5.6,-0.3681245526846775,-0.9297764858882516
0.003,0.0,100,5.7,-0.42577929156507266,-0.9048270524660195
0.001,0.0,100,5.8,-0.481753674101715,-0.8763066800438637
